NodeID,X,Y,Z,Ux,Uy,Uz
97,-44.9434,0.45,0,0,0,0
98,-45.9458,0.45,0,0,0,0
99,-46.9481,0.45,0,0,0,0
100,-47.9505,0.45,0,0,0,0
101,-48.9528,0.45,0,0,0,0
102,-49.9552,0.45,0,0,0,0
103,-50.9575,0.45,0,0,0,0
104,-51.9599,0.45,0,0,0,0
105,-52.9623,0.45,0,0,0,0
106,-53.9646,0.45,0,0,0,0
107,-54.967,0.45,0,0,0,0
108,-55.9693,0.45,0,0,0,0
109,-56.9717,0.45,0,0,0,0
110,-57.9741,0.45,0,0,0,0
111,-58.9764,0.45,0,0,0,0
112,-59.9788,0.45,0,0,0,0
113,-60.9811,0.45,0,0,0,0
114,-61.9835,0.45,0,0,0,0
115,-62.9858,0.45,0,0,0,0
116,-63.9882,0.45,0,0,0,0
117,-64.9906,0.45,0,0,0,0
118,-65.9929,0.45,0,0,0,0
119,-66.9953,0.45,0,0,0,0
120,-67.9976,0.45,0,0,0,0
121,-69,1.42895,0,0,0,0
122,-69,2.40789,0,0,0,0
123,-69,3.38684,0,0,0,0
124,-69,4.36579,0,0,0,0
125,-69,5.34474,0,0,0,0
126,-69,6.32368,0,0,0,0
127,-69,7.30263,0,0,0,0
128,-69,8.28158,0,0,0,0
129,-69,9.26053,0,0,0,0
130,-69,10.2395,0,0,0,0
131,-69,11.2184,0,0,0,0
132,-69,12.1974,0,0,0,0
133,-69,13.1763,0,0,0,0
134,-69,14.1553,0,0,0,0
135,-69,15.1342,0,0,0,0
136,-69,16.1132,0,0,0,0
137,-69,17.0921,0,0,0,0
138,-69,18.0711,0,0,0,0
139,-67.9976,19.05,0,0,0,0
140,-66.9953,19.05,0,0,0,0
141,-65.9929,19.05,0,0,0,0
142,-64.9906,19.05,0,0,0,0
143,-63.9882,19.05,0,0,0,0
144,-62.9858,19.05,0,0,0,0
145,-61.9835,19.05,0,0,0,0
146,-60.9811,19.05,0,0,0,0
147,-59.9788,19.05,0,0,0,0
148,-58.9764,19.05,0,0,0,0
149,-57.9741,19.05,0,0,0,0
150,-56.9717,19.05,0,0,0,0
151,-55.9693,19.05,0,0,0,0
152,-54.967,19.05,0,0,0,0
153,-53.9646,19.05,0,0,0,0
154,-52.9623,19.05,0,0,0,0
155,-51.9599,19.05,0,0,0,0
156,-50.9575,19.05,0,0,0,0
157,-49.9552,19.05,0,0,0,0
158,-48.9528,19.05,0,0,0,0
159,-47.9505,19.05,0,0,0,0
160,-46.9481,19.05,0,0,0,0
161,-45.9458,19.05,0,0,0,0
162,-44.9434,19.05,0,0,0,0
163,-43.941,19.05,0,0,0,0
164,-42.9387,19.05,0,0,0,0
165,-41.9363,19.05,0,0,0,0
166,-40.934,19.05,0,0,0,0
167,-39.9316,19.05,0,0,0,0
168,-38.9292,19.05,0,0,0,0
169,-37.9269,19.05,0,0,0,0
170,-36.9245,19.05,0,0,0,0
171,-35.9222,19.05,0,0,0,0
172,-34.9198,19.05,0,0,0,0
173,-33.9175,19.05,0,0,0,0
174,-32.9151,19.05,0,0,0,0
175,-31.9127,19.05,0,0,0,0
176,-30.9104,19.05,0,0,0,0
177,-29.908,19.05,0,0,0,0
178,-28.9057,19.05,0,0,0,0
179,-27.9033,19.05,0,0,0,0
180,-26.9009,19.05,0,0,0,0
181,-25.8986,19.05,0,0,0,0
182,-24.8962,19.05,0,0,0,0
183,-23.8939,19.05,0,0,0,0
184,-22.8915,19.05,0,0,0,0
185,-21.8892,19.05,0,0,0,0
186,-20.8868,19.05,0,0,0,0
187,-19.8844,19.05,0,0,0,0
188,-18.8821,19.05,0,0,0,0
189,-17.8797,19.05,0,0,0,0
190,-16.8774,19.05,0,0,0,0
191,-15.875,18.0711,0,0,0,0
192,-15.875,17.0921,0,0,0,0
193,-15.875,16.1132,0,0,0,0
194,-15.875,15.1342,0,0,0,0
195,-15.875,14.1553,0,0,0,0
196,-15.875,13.1763,0,0,0,0
197,-15.875,12.1974,0,0,0,0
198,-15.875,11.2184,0,0,0,0
199,-15.875,10.2395,0,0,0,0
200,-15.875,9.26053,0,0,0,0
201,-15.875,8.28158,0,0,0,0
202,-15.875,7.30263,0,0,0,0
203,-15.875,6.32368,0,0,0,0
204,-15.875,5.34474,0,0,0,0
205,-15.875,4.36579,0,0,0,0
206,-15.875,3.38684,0,0,0,0
207,-15.875,2.40789,0,0,0,0
208,-15.875,1.42895,0,0,0,0
209,-67.9976,0.45,1,0,0,0
210,-66.9953,0.45,1,0,0,0
211,-65.9929,0.45,1,0,0,0
212,-64.9906,0.45,1,0,0,0
213,-63.9882,0.45,1,0,0,0
214,-62.9858,0.45,1,0,0,0
215,-61.9835,0.45,1,0,0,0
216,-60.9811,0.45,1,0,0,0
217,-59.9788,0.45,1,0,0,0
218,-58.9764,0.45,1,0,0,0
219,-57.9741,0.45,1,0,0,0
220,-56.9717,0.45,1,0,0,0
221,-55.9693,0.45,1,0,0,0
222,-54.967,0.45,1,0,0,0
223,-53.9646,0.45,1,0,0,0
224,-52.9623,0.45,1,0,0,0
225,-51.9599,0.45,1,0,0,0
226,-50.9575,0.45,1,0,0,0
227,-49.9552,0.45,1,0,0,0
228,-48.9528,0.45,1,0,0,0
229,-47.9505,0.45,1,0,0,0
230,-46.9481,0.45,1,0,0,0
231,-45.9458,0.45,1,0,0,0
232,-44.9434,0.45,1,0,0,0
233,-43.941,0.45,1,0,0,0
234,-42.9387,0.45,1,0,0,0
235,-41.9363,0.45,1,0,0,0
236,-40.934,0.45,1,0,0,0
237,-39.9316,0.45,1,0,0,0
238,-38.9292,0.45,1,0,0,0
239,-37.9269,0.45,1,0,0,0
240,-36.9245,0.45,1,0,0,0
241,-35.9222,0.45,1,0,0,0
242,-34.9198,0.45,1,0,0,0
243,-33.9175,0.45,1,0,0,0
244,-32.9151,0.45,1,0,0,0
245,-31.9127,0.45,1,0,0,0
246,-30.9104,0.45,1,0,0,0
247,-29.908,0.45,1,0,0,0
248,-28.9057,0.45,1,0,0,0
249,-27.9033,0.45,1,0,0,0
250,-26.9009,0.45,1,0,0,0
251,-25.8986,0.45,1,0,0,0
252,-24.8962,0.45,1,0,0,0
253,-23.8939,0.45,1,0,0,0
254,-22.8915,0.45,1,0,0,0
255,-21.8892,0.45,1,0,0,0
256,-20.8868,0.45,1,0,0,0
257,-19.8844,0.45,1,0,0,0
258,-18.8821,0.45,1,0,0,0
259,-17.8797,0.45,1,0,0,0
260,-16.8774,0.45,1,0,0,0
261,-69,18.0711,1,0,0,0
262,-69,17.0921,1,0,0,0
263,-69,16.1132,1,0,0,0
264,-69,15.1342,1,0,0,0
265,-69,14.1553,1,0,0,0
266,-69,13.1763,1,0,0,0
267,-69,12.1974,1,0,0,0
268,-69,11.2184,1,0,0,0
269,-69,10.2395,1,0,0,0
270,-69,9.26053,1,0,0,0
271,-69,8.28158,1,0,0,0
272,-69,7.30263,1,0,0,0
273,-69,6.32368,1,0,0,0
274,-69,5.34474,1,0,0,0
275,-69,4.36579,1,0,0,0
276,-69,3.38684,1,0,0,0
277,-69,2.40789,1,0,0,0
278,-69,1.42895,1,0,0,0
279,-16.8774,19.05,1,0,0,0
280,-17.8797,19.05,1,0,0,0
281,-18.8821,19.05,1,0,0,0
282,-19.8844,19.05,1,0,0,0
283,-20.8868,19.05,1,0,0,0
284,-21.8892,19.05,1,0,0,0
285,-22.8915,19.05,1,0,0,0
286,-23.8939,19.05,1,0,0,0
287,-24.8962,19.05,1,0,0,0
288,-25.8986,19.05,1,0,0,0
289,-26.9009,19.05,1,0,0,0
290,-27.9033,19.05,1,0,0,0
291,-28.9057,19.05,1,0,0,0
292,-29.908,19.05,1,0,0,0
293,-30.9104,19.05,1,0,0,0
294,-31.9127,19.05,1,0,0,0
295,-32.9151,19.05,1,0,0,0
296,-33.9175,19.05,1,0,0,0
297,-34.9198,19.05,1,0,0,0
298,-35.9222,19.05,1,0,0,0
