ElementID,Type,Volume,Sxx,Syy,Szz,Sxy,Sxz,Syz,Exx,Eyy,Ezz,Exy,Exz,Eyz
67,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
68,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
69,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
70,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
71,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
72,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
73,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
74,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
75,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
76,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
77,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
78,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
79,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
80,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
81,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
82,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
83,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
84,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
85,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
86,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
87,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
88,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
89,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
90,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
91,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
92,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
93,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
94,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
95,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
96,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
97,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
98,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
99,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
100,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
101,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
102,C3D8,0.327084,0,0,0,0,0,0,0,0,0,0,0,0
103,C3D8,0.327088,0,0,0,0,0,0,0,0,0,0,0,0
104,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
105,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
106,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
107,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
108,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
109,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
110,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
111,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
112,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
113,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
114,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
115,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
116,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
117,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
118,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
119,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
120,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
121,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
122,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
123,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
124,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
125,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
126,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
127,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
128,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
129,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
130,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
131,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
132,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
133,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
134,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
135,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
136,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
137,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
138,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
139,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
140,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
141,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
142,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
143,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
144,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
145,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
